pid,screen_width,screen_height,condition,writing_assignment,awe,fear,amazement,happiness,fascination,content_video,content_study,video_played,video_problems,sound_on,attentive,conscientious,screen_control,screen_control_other,privacy_check
15723e3b,667,315,exp_new,"Analytische Fähigkeit
Empathie
Zuhören
Struktur
Klarheit
Intelligenz
Organisationstalent
Vernetzung
",6,5,6,3,6,"Vom Detail zum großen Ganzen
Mensch/Erde ist nur ein kleiner Punkt im Universum",Einfluss auf Selbstbeurteilung,1,"",1,1,1,1,"",OK
10d7505f,390,699,exp_old,"Meine Stärken sind wohl dass ich sehr hilfsbereit bin. Ich bin einfühlsam und kann mit gut in andere hineinversetzen und dadurch gut mit anderen zusammenarbeiten. Außerdem kann ich in schwierigen Situationen oder bei schwierigen Aufgaben gut einen kühlen Kopf bewahren und auch analytisch vorgehen. Zudem würde ich mich als sehr offen und aufgeschlossen beschreiben.
Leider neige ich dazu Dinge zu viel zu überdenken, wodurch ich leicht meine normalerweise optimistische Einstellung herunterziehe. Außerdem gehen mir viele Situationen sehr nahe.",6,2,7,6,7,"- Vergleich der Erde zu anderen uns bekannten Planeten und Sternen im Universum
- zuerst Vergleich zu unserem Sonnensystem, dann Vergleich zu größeren Sternen als die Sonne 
- von kleinstem Planet zu größtem Stern
- am Ende Vergleich der Erde zu größtem Stern",Vielleicht wie die Stärken und Schwächen bzw. Persönlichkeit einer Person Einfluss auf das Erleben und die Emotionen in bestimmten Situationen oder bei Videos (mit speziellem Ton) hat,1,"",1,1,1,1,"",OK
6d78c85d,1180,688,exp_new,"Stärken: verantwortungsbewusst, gutes Organisationsgeschick, ich kann gut zuhören, Empathie, ich kann schnell Neues lernen & merken, interessiert

Schwächen:
Unsicher, Geduld",6,2,6,4,6,Aus der Erde rausgezoomt ins Universum,Zusammenhang von Staunen & Persönlichkeit,1,"",1,1,1,2,"",OK
9cb0e6d2,393,773,exp_new,Ich bin einfühlsam und kümmere mich um die Gefühle von anderen. Ich kann gut planen und organisieren. Jedoch kann ich schnell genervt werden.,4,1,2,1,3,Um die Erde und das Weltall und wie klein wir im Vergleich dazu sind.,Wie Musik und Perspektive einen Einfluss auf die Wahrnehmung haben.,1,"",1,1,1,1,"",OK
53686cf5,,,"","",,,,,,"","",,"",,,,,"",OK
37e10ef4,393,695,exp_old,"Stärken: 
Körperlich: Ausdauer, Kraft, Hand Augen coordination, vielfältige Erfahrung. 
Mental: Durchhaltevermögen und Motiviert, schlau
Schwächen: faul wenn kein Ziel, unmotiviert wenn es etwas is was ich nicht gut kann

Mache nur gerne Sachen die ich gut kann und muss für Neues oft leicht gezwungen/überredet werden
",2,1,3,2,4,"Größendimensionen in unserem Universum
",Die Selbsteinschätzung nachdem gezweigt wird wie klein und evtl unnötig wir sind im Vergleich zum Universum ,1,"",1,1,1,1,"",OK
96e326d5,1210,702,exp_old,"Meine Stärken sind, dass ich eher emphatisch bin (was manche auch als Schwäche bezeichnen). Ich hab Humor und ich hab das Gefühl Leute fühlen sich wohn um mich herum. Außerdem bemühe ich mich immer Nett und hilfsbereit zu sein. Zu meinen Schwächen zählt, dass ich nicht sehr fleißig bin. Sehr anhänglich bin. Aufmerksamkeit brauche…",5,1,4,3,4,"Die Größe der Welt 
Vergleich der Welt mit anderen Planeten/Sternen","Ich glaube in der Studie ging es um das Vergleichen. Also das vergleichen der Planeten durch Größe, das vergleichen von uns Menschen durch stärken und schwächen. Aber es könnte auch darum gehen, wie groß unser Universum ist, und was ein winziger Teil wir doch sind, und unsere Stärken und Schwächen im Vergleich zum Weltall doch nur winzig und unwichtig sind.",1,"",1,1,1,2,"",OK
82aba538,1920,947,control,"Meine Stärken sind hohes Einfühlungsvermögen, Verständnis, Neutralität und Allparteilichkeit, Motivation und Volition. Meine Schwächen sind ein zu hohes Verantwortungsbewusstsein, wenig Humor, ich kann mit nahmen Menschen sehr fordernd sein, ich brauche viel Ruhe und führe schlecht lockere Gespräche, ich kann mich nicht gut in Gruppen integrieren",3,2,1,1,2,Mauern und Mauerbau,Wie langweilige Videos unsere Selbstwahrnehmung beeinflussen.,1,"",2,2,1,3,"",OK
818036ee,430,775,control,"Stärken: 
Sprachen 
Kunst & Kreativität 

Schwächen: 
Mathematik
Technik 
Wenig Geduld",1,1,2,2,2,Informationen um Mauern stabiler zu errichten ,/ ,1,"",1,1,1,1,"",OK
ca72fe3e,1272,668,control,"Stärken: ich bin vor allem gut im logische analytischen Denken  und bin positiv, motiviert und diszipliniert und gut in Teamarbeit. 
Schwächen: Ich bin vllt etwas ungeduldig und manchmal faul",1,1,2,2,3,"Methoden, um eine Mauer zu stabilisieren.
Zum Beispiel Kurven/Ecken, Rohre oder Kleber + Werbung","Keine Ahnung, vllt worauf man den Fokus setzt beim Video",1,"",1,1,1,3,"",OK
62b8f0a6,430,729,exp_new,"Meine Stärke ist, dass ich gerne und viel rede. Immer mit anderen Leuten das Gespräch suche und mich sehr für das Leben meiner Mitmenschen interessiere. Wenn ich jemanden kenne, bin ich super offen, immer für diese Person da und schätze jeden Moment. Meine Schwöche jedoch ist, dass ich erst Zeit brauche um mich zu öffnen. Ich angst habe, zu schlecht für etwas zu sein und mich dann oft nicht traue etwas zu tun. Mir fehlt oft das Selbstbewusstsein aus mir raus zu kommen und mich so zu zeigen wie ich bin. Außerdem versuche ich es immer allen anderen gerecht zu machen und merke dadurch nicht, dass ich einfach ich sein sollte anstatt mich zu verstellen.",4,4,7,2,6,"- Universum
- wie klein die Welt ist im Vergleich zu der Milchstraße
- Verlassen von Bekanntem ins Ungewisse",Wie verschiedene Menschen Videos in Kombination mit Tönen wahrnehmen und interpretieren + auf den eigenen Charakter beziehen/ widerspiegeln,1,"",1,1,1,1,"",OK
f32c8d05,360,625,control,"Zunächst zu meinen Stärken. Ich bin sehr ordentlich und strukturiert, zudem kann ich gut zu hören. Ich funktioniere gut in einer Teamarbeit und bin zuverlässig.
Meine schwächen sind, dass ich manchmal die Zeit nicht richtig im Blick hab und für kleinere Aufgaben viel zu viel Zeit aufwende.",2,1,3,2,1,"Das Video handelte davon, wie man Mauern baut und diese besonders gut verstärkt.",Ich weiß es leider nicht ,1,"",1,1,1,1,"",OK
8ed80f9e,402,714,exp_new,"meine Stärken sind meine kreativität und konzentration unter stress, ich lasse mich wenig von meinen Emotionen lenken undkann auch in stressigen oder schwierigen situationen ruhig und faktenbasiert bleiben. 
ich prokrasiniere manchmal zu vor indian mich schwer aufraffen dinge zu tun, wieso das so ist kann ich mir dabei oft selbst nicht erklären außerdem falle ich anderen oft ins wort, grundsätzlich höre ich trotzdem gerne zu und beschäftige mich mit anderen menschen ",5,1,6,5,7,der bedeutungslosigkeit des menschen angesichts des unendlichen universums,vielleicht wie sich das gefühl der distanzierung von seinem eigenen leben und der realisation der eigenen bedeutungslosigkeit (also im sinne davon wie viel mehr es eigentlich noch gibt) auf das eigene selbstbild auswirkt ,1,"",1,1,1,1,"",OK
